timestamp,open,high,low,close,volume
1719840600,164.8,164.8,164.635,164.68,108189
1719840660,164.7,164.79,164.655,164.76,50193
1719840720,164.75,164.83,164.66,164.815,19991
1719840780,164.83,164.94,164.825,164.93,15413
1719840840,164.92,164.96,164.85,164.9,16234
1719840900,164.9,164.91,164.61,164.66,45109
1719840960,164.67,164.69,164.55,164.55,28495
1719841020,164.56,164.66,164.55,164.57,44183
1719841080,164.55,164.595,164.51,164.595,21810
1719841140,164.59,164.66,164.535,164.61,30813
1719841200,164.605,164.67,164.6,164.61,20727
1719841260,164.61,164.7,164.59,164.7,30351
1719841320,164.71,164.71,164.61,164.62,11435
1719841380,164.61,164.61,164.48,164.48,9009
1719841440,164.5,164.62,164.5,164.57,8133
1719841500,164.55,164.55,164.38,164.44,18128
1719841560,164.44,164.53,164.44,164.45,20070
1719841620,164.45,164.57,164.43,164.57,9099
1719841680,164.55,164.62,164.51,164.62,23228
1719841740,164.64,164.65,164.56,164.65,22113
1719841800,164.62,164.65,164.6,164.61,24287
1719841860,164.61,164.62,164.56,164.58,68001
1719841920,164.58,164.71,164.58,164.71,13617
1719841980,164.71,164.77,164.695,164.72,10429
1719842040,164.72,164.72,164.6,164.62,74859
1719842100,164.61,164.685,164.61,164.64,11373
1719842160,164.63,164.641,164.58,164.58,10407
1719842220,164.57,164.63,164.56,164.63,15453
1719842280,164.64,164.66,164.59,164.61,118868
1719842340,164.62,164.62,164.57,164.6,8609
1719842400,164.61,164.8,164.61,164.78,92222
1719842460,164.79,164.81,164.63,164.63,95496
1719842520,164.64,164.64,164.49,164.5,51988
1719842580,164.49,164.52,164.44,164.49,50410
1719842640,164.5,164.51,164.45,164.46,46175
1719842700,164.47,164.49,164.38,164.41,43624
1719842760,164.4,164.47,164.4,164.44,15278
1719842820,164.42,164.45,164.28,164.28,15091
1719842880,164.28,164.34,164.26,164.32,13469
1719842940,164.34,164.36,164.26,164.26,12516
1719843000,164.25,164.25,164.12,164.12,18931
1719843060,164.11,164.11,163.99,164.04,51210
1719843120,164.015,164.06,163.87,163.87,11800
1719843180,163.86,163.92,163.81,163.82,20046
1719843240,163.81,163.81,163.74,163.75,20423
1719843300,163.76,163.82,163.73,163.77,42742
1719843360,163.78,163.79,163.7,163.71,37129
1719843420,163.72,163.785,163.69,163.74,37369
1719843480,163.74,163.79,163.73,163.74,17106
1719843540,163.75,163.785,163.75,163.765,20182
1719843600,163.77,163.775,163.61,163.61,16679
1719843660,163.61,163.61,163.5,163.5,17620
1719843720,163.49,163.58,163.48,163.58,13882
1719843780,163.59,163.65,163.56,163.63,37211
1719843840,163.625,163.66,163.58,163.66,8033
1719843900,163.675,163.69,163.64,163.64,8997
1719843960,163.65,163.68,163.63,163.63,8939
1719844020,163.625,163.63,163.56,163.61,11732
1719844080,163.6,163.645,163.59,163.62,17716
1719844140,163.63,163.695,163.615,163.62,8270
1719844200,163.63,163.67,163.5,163.52,31046
1719844260,163.51,163.515,163.45,163.45,13696
1719844320,163.45,163.49,163.42,163.43,16447
1719844380,163.44,163.44,163.39,163.39,21041
1719844440,163.4,163.405,163.32,163.32,15053
1719844500,163.32,163.34,163.29,163.33,20806
1719844560,163.33,163.375,163.33,163.35,17389
1719844620,163.355,163.365,163.3,163.31,16755
1719844680,163.3,163.35,163.26,163.35,12552
1719844740,163.34,163.35,163.31,163.31,8536
1719844800,163.305,163.315,163.28,163.3,16379
1719844860,163.31,163.31,163.2,163.2,53707
1719844920,163.21,163.35,163.21,163.35,12953
1719844980,163.35,163.36,163.3,163.3,22276
1719845040,163.3,163.325,163.29,163.305,6842
1719845100,163.3,163.315,163.26,163.26,6427
1719845160,163.27,163.28,163.26,163.26,18111
1719845220,163.25,163.25,163.13,163.13,9206
1719845280,163.14,163.17,163.1,163.1,13111
1719845340,163.09,163.09,163.04,163.04,8855
1719845400,163.04,163.14,163.04,163.14,17609
1719845460,163.14,163.18,163.13,163.17,15619
1719845520,163.16,163.16,163.12,163.15,18477
1719845580,163.16,163.185,163.13,163.16,20515
1719845640,163.15,163.21,163.12,163.16,8611
1719845700,163.16,163.18,163.09,163.16,12159
1719845760,163.17,163.21,163.165,163.18,36393
1719845820,163.17,163.24,163.17,163.22,9695
1719845880,163.23,163.285,163.23,163.27,11373
1719845940,163.27,163.27,163.185,163.185,13353
1719846000,163.18,163.18,163.11,163.11,11015
1719846060,163.11,163.14,163.07,163.08,20099
1719846120,163.09,163.105,163.07,163.07,15577
1719846180,163.07,163.11,163.06,163.09,31141
1719846240,163.09,163.11,163.06,163.11,10346
1719846300,163.12,163.16,163.12,163.16,6939
1719846360,163.16,163.165,163.15,163.155,7751
1719846420,163.155,163.27,163.155,163.27,13048
1719846480,163.28,163.33,163.22,163.22,40403
1719846540,163.22,163.29,163.22,163.26,12262
1719846600,163.26,163.26,163.2,163.2,7208
1719846660,163.21,163.23,163.19,163.21,13122
1719846720,163.21,163.28,163.21,163.25,30782
1719846780,163.24,163.245,163.22,163.22,10404
1719846840,163.225,163.225,163.15,163.15,10679
1719846900,163.15,163.15,163.09,163.12,134023
1719846960,163.12,163.125,163.085,163.115,29449
